User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
14733363,male,68,190,94,29,105,40.8,231
14861698,female,20,166,60,14,94,40.3,66
11179863,male,69,179,79,5,88,38.7,26
16180408,female,34,179,71,13,100,40.5,71
17771927,female,27,154,58,10,81,39.8,35
15130815,female,36,151,50,23,96,40.7,123
19602372,female,33,158,56,22,95,40.5,112
11117088,male,41,175,85,25,100,40.7,143
12132339,male,60,186,94,21,97,40.4,134
17964668,female,26,146,51,16,90,40.2,72
13723164,female,36,177,76,1,74,37.8,3
13681290,female,21,157,56,17,100,40,92
15566424,male,66,171,79,11,90,40,58
12891699,female,32,157,54,18,93,40.4,88
13823829,male,53,182,85,2,82,38.1,7
17557348,female,39,156,62,28,104,40.8,170
12198133,male,39,182,82,4,82,38.6,11
15236104,male,46,169,67,11,89,40.2,43
11042324,female,27,171,65,4,85,38.6,15
16864285,male,50,188,86,14,94,40.2,74
11674347,male,67,189,93,8,77,39.2,29
19797300,female,31,148,50,8,84,39.5,32
14711095,female,33,157,60,3,80,38.7,10
14434854,female,20,165,59,29,100,41,155
14893804,male,48,182,85,1,80,37.7,3
17231597,male,29,176,75,10,83,39.7,24
10901446,male,33,173,73,7,78,39.3,12
15874362,male,42,190,88,3,83,38.9,10
15569252,female,62,159,59,29,106,41.2,195
15615743,male,38,171,75,2,81,38.2,5
13363046,male,20,183,88,16,97,40.5,69
17572853,female,25,160,59,24,102,40.3,136
17157339,female,24,165,59,18,91,40.2,80
18328111,female,42,165,68,22,93,40.8,107
19303479,male,22,182,84,29,114,41,200
10699201,female,74,158,59,10,93,39.6,56
15283313,female,70,154,59,10,88,40,50
16324247,female,26,182,80,21,96,40.5,100
14277710,male,44,184,86,25,114,40.8,200
10888188,male,61,183,86,1,81,38.3,4
13379795,female,68,157,57,13,92,40.1,70
17181524,female,61,176,70,20,104,40.5,127
15988442,male,63,179,80,25,108,40.8,197
19538533,female,54,171,66,20,98,40.1,113
14591877,female,54,169,66,3,80,38.9,11
14274480,female,47,155,55,16,93,40.5,82
16818429,male,33,184,86,8,86,39.9,26
17476522,female,24,171,66,24,105,40.6,141
16369885,male,24,195,98,20,96,40.6,92
17816292,male,48,152,59,2,79,38,5
15995398,male,35,193,93,10,83,39.7,30
17615432,male,21,168,71,3,78,38.5,3
10146087,female,21,179,73,9,90,39.6,37
17967445,female,22,158,62,25,105,40.6,147
19670291,female,69,174,69,2,80,38.1,8
10580576,male,53,191,101,21,106,40.7,159
15854213,female,68,155,58,15,100,40.3,93
11138472,female,69,164,65,23,113,40.4,173
18276801,male,28,198,101,19,95,40.6,89
13823902,male,70,188,89,7,82,39.3,31
19222133,female,36,170,64,9,84,39.6,35
13231909,female,77,177,80,16,98,40.6,94
12726617,female,32,167,63,9,99,39.7,49
12538968,female,62,185,77,13,84,40.4,54
10941668,female,64,151,56,20,97,40.4,117
12628985,male,45,175,79,27,104,40.6,173
17691320,male,45,158,61,20,97,40.7,99
17822027,female,22,177,71,10,93,39.8,45
13777657,male,45,169,69,22,113,40.6,166
19423359,female,66,174,69,28,111,40.9,202
14701930,male,31,182,83,20,101,40.9,107
11513205,female,57,163,68,29,109,40.7,199
11842710,male,53,192,93,5,90,39.1,25
12576313,female,22,179,67,8,77,39.5,23
12367125,male,67,192,92,24,108,40.7,200
16913504,female,27,168,64,2,76,38.2,6
19439155,male,57,178,83,2,79,38.1,7
16137644,female,49,168,68,20,99,40.6,113
11622081,female,39,168,63,29,108,40.7,188
17374074,male,47,165,72,20,96,40.3,103
19096890,male,62,197,101,17,103,40.3,128
19628507,male,41,187,89,23,99,40.7,130
16918679,female,34,144,50,7,83,39.3,27
11194130,female,40,163,62,27,111,41.2,185
18863486,female,55,155,57,11,92,39.8,57
11754581,male,44,189,88,13,94,40,65
15161631,female,45,160,60,16,99,40.4,91
18735761,female,49,164,64,19,105,40.4,120
15878611,female,46,166,68,12,101,40.1,70
19249559,male,25,202,100,9,94,39.8,39
15469030,male,68,171,80,22,95,40.5,136
11157560,female,25,169,64,14,101,40.2,77
19576971,female,31,174,67,9,93,39.5,42
15048071,male,57,184,91,7,95,39.2,41
18707469,female,27,159,59,14,88,39.9,59
12598637,male,40,201,98,24,110,40.7,179
14342169,female,57,171,74,2,73,38.6,6
19208771,female,23,155,62,5,74,39.2,13
11790318,male,23,189,87,23,110,40,147
11756583,male,43,183,88,26,107,40.7,180
16417986,male,74,201,107,14,96,40.1,101
13065142,female,45,158,53,23,106,40.7,150
10481882,female,31,165,60,25,115,40.8,179
19521409,male,21,195,93,6,93,39.2,23
15862346,male,50,190,96,3,80,38.3,10
12234447,male,39,175,74,9,93,39.5,39
14624633,male,57,169,81,30,112,40.9,247
17074274,female,26,159,53,19,92,40.5,89
17636190,male,34,181,83,25,102,40.9,141
14345479,female,55,160,62,4,87,39.1,18
11772472,female,52,171,67,15,89,40.6,70
19087162,male,21,188,90,29,110,40.8,185
15875055,female,20,136,45,11,94,40.1,54
10939512,female,79,152,60,29,107,40.8,207
13616455,male,21,189,91,27,114,41,189
19118405,male,50,171,74,2,82,38.1,6
10503799,female,29,180,76,12,97,39.9,60
16572590,male,22,194,92,6,92,39,23
17336010,female,28,158,60,27,113,40.8,186
15483091,male,38,188,93,28,104,40.9,178
10006441,male,23,169,73,25,102,40.7,122
13075455,female,68,159,68,24,108,40.5,166
17564519,male,79,176,86,20,102,40.1,158
18789619,female,35,182,70,2,83,38.4,7
15444304,male,67,201,96,18,105,40.5,143
